question,body no carry,body carry,paraphrase no carry,paraphrase carry,answer no carry,answer carry,answer,Carry Operation,Num. Carries
How many soaps does Benjamin have in total?,Ava has 317 soaps. Benjamin has 461 more soaps than Ava.,Ava has 499 soaps. Benjamin has 279 more soaps than Ava.,Ava has 317 soaps. Benjamin has 461 soaps more than Ava. How many soaps does Benjamin have in total?,Ava has 499 soaps. Benjamin has 279 soaps more than Ava. How many soaps does Benjamin have in total?,778,778,778,Addition,2
What is the number of large pots that Abigail has?,Lucy has 267 large pots. Abigail has 111 more large pots than Lucy.,Lucy has 189 large pots. Abigail has 189 more large pots than Lucy.,Lucy has 267 large pots. Abigail has 111 larger pots than Lucy. What is the number of large pots that Abigail has?,Lucy has 189 large pots. Abigail has 189 larger pots than Lucy. What is the number of large pots that Abigail has?,378,378,378,Addition,2
How many grams of butter does Harper have?,Jackson has 753 grams of butter. Jackson has 342 grams of butter more than Harper.,Jackson has 900 grams of butter. Jackson has 489 grams of butter more than Harper.,Jackson has 753 grams of butter. Jackson has 342 grams more butter than Harper. How many grams of butter does Harper have?,Jackson has 900 grams of butter. Jackson has 489 grams more butter than Harper. How many grams of butter does Harper have?,411,411,411,Subtraction,2
How many kilograms of gold does Daniel have?,Henry has 487 kilograms of gold. Henry has 150 kilograms of gold more than Daniel.,Henry has 982 kilograms of gold. Henry has 645 kilograms of gold more than Daniel.,Henry has 487 kilograms of gold. Henry has 150 kilograms more gold than Daniel. How many kilograms of gold does Daniel have?,Henry has 982 kilograms of gold. Henry has 645 kilograms more gold than Daniel. How many kilograms of gold does Daniel have?,337,337,337,Subtraction,1
What is the number of large towels that Alexander has?,Sophia has 106 large towels. Sophia has 512 fewer large towels than Alexander.,Sophia has 459 large towels. Sophia has 159 fewer large towels than Alexander.,Sophia has 106 large towels. Sophia has 512 fewer large towels than Alexander. What is the number of large towels that Alexander has?,Sophia has 459 large towels. Sophia has 159 fewer large towels than Alexander. What is the number of large towels that Alexander has?,618,618,618,Addition,2
What is the number of blue shampoos that Grace has?,Natalie has 956 blue shampoos. Natalie has 846 more blue shampoos than Grace.,Natalie has 404 blue shampoos. Natalie has 294 more blue shampoos than Grace.,Natalie has 956 blue shampoos. Natalie has 846 more blue shampoos than Grace. What is the number of blue shampoos that Grace has?,Natalie has 404 blue shampoos. Natalie has 294 more blue shampoos than Grace. What is the number of blue shampoos that Grace has?,110,110,110,Subtraction,1
How many toothbrushs does Grace have in their collection?,Hannah has 997 toothbrushs. Grace has 770 fewer toothbrushs than Hannah.,Hannah has 365 toothbrushs. Grace has 138 fewer toothbrushs than Hannah.,Hannah has 997 toothbrushes. Grace has 770 fewer toothbrushes than Hannah. How many toothbrushes does Grace have in her collection?,Hannah has 365 toothbrushes. Grace has 138 fewer toothbrushes than Hannah. How many toothbrushes does Grace have in her collection?,227,227,227,Subtraction,1
What is the number of orange televisions that Andrew has?,Mila has 642 orange televisions. Mila has 123 fewer orange televisions than Andrew.,Mila has 376 orange televisions. Mila has 389 fewer orange televisions than Andrew.,Mila has 642 orange televisions. Mila has 123 fewer orange televisions than Andrew. What is the number of orange televisions that Andrew has?,Mila has 376 orange televisions. Mila has 389 fewer orange televisions than Andrew. What is the number of orange televisions that Andrew has?,765,765,765,Addition,2
How many gallons of oil does Liam have?,Amelia has 126 gallons of oil. Amelia has 330 gallons of oil less than Liam.,Amelia has 190 gallons of oil. Amelia has 266 gallons of oil less than Liam.,Amelia has 126 gallons of oil. Amelia has 330 gallons less oil than Liam. How many gallons of oil does Liam have?,Amelia has 190 gallons of oil. Amelia has 266 gallons less oil than Liam. How many gallons of oil does Liam have?,456,456,456,Addition,1
How many vases does Matthew have totaled?,Alexander has 631 vases. Alexander has 147 fewer vases than Matthew.,Alexander has 309 vases. Alexander has 469 fewer vases than Matthew.,Alexander has 631 vases. Alexander has 147 fewer vases than Matthew. How many vases does Matthew have in total?,Alexander has 309 vases. Alexander has 469 fewer vases than Matthew. How many vases does Matthew have in total?,778,778,778,Addition,1
How many keyboards does Elijah have?,Jonathan has 608 keyboards. Elijah has 220 more keyboards than Jonathan.,Jonathan has 329 keyboards. Elijah has 499 more keyboards than Jonathan.,Jonathan has 608 keyboards. Elijah has 220 keyboards more than Jonathan. How many keyboards does Elijah have?,Jonathan has 329 keyboards. Elijah has 499 keyboards more than Jonathan. How many keyboards does Elijah have?,828,828,828,Addition,2
What is the number of red bookshelfs that Mason has?,Charlotte has 647 red bookshelfs. Mason has 336 fewer red bookshelfs than Charlotte.,Charlotte has 806 red bookshelfs. Mason has 495 fewer red bookshelfs than Charlotte.,Charlotte has 647 red bookshelves. Mason has 336 fewer red bookshelves than Charlotte. What is the number of red bookshelves that Mason has?,Charlotte has 806 red bookshelves. Mason has 495 fewer red bookshelves than Charlotte. What is the number of red bookshelves that Mason has?,311,311,311,Subtraction,1
How many acres of farmland does Daniel have?,Evelyn has 400 acres of farmland. Daniel has 511 acres of farmland more than Evelyn.,Evelyn has 163 acres of farmland. Daniel has 748 acres of farmland more than Evelyn.,Evelyn has 400 acres of farmland. Daniel has 511 acres more farmland than Evelyn. How many acres of farmland does Daniel have?,Evelyn has 163 acres of farmland. Daniel has 748 acres more farmland than Evelyn. How many acres of farmland does Daniel have?,911,911,911,Addition,2
What is the number of yellow spoons that Mia has?,Christian has 669 yellow spoons. Christian has 145 more yellow spoons than Mia.,Christian has 802 yellow spoons. Christian has 278 more yellow spoons than Mia.,Christian has 669 yellow spoons. Christian has 145 more yellow spoons than Mia. What is the number of yellow spoons that Mia has?,Christian has 802 yellow spoons. Christian has 278 more yellow spoons than Mia. What is the number of yellow spoons that Mia has?,524,524,524,Subtraction,2
How many mouses does Emma have in their collection?,Daniel has 430 mouses. Emma has 215 more mouses than Daniel.,Daniel has 378 mouses. Emma has 267 more mouses than Daniel.,Daniel has 430 mice. Emma has 215 more mice than Daniel. How many mice does Emma have in their collection?,Daniel has 378 mice. Emma has 267 more mice than Daniel. How many mice does Emma have in their collection?,645,645,645,Addition,2
How many clocks does Daniel have in all?,Scarlett has 864 clocks. Daniel has 501 fewer clocks than Scarlett.,Scarlett has 802 clocks. Daniel has 439 fewer clocks than Scarlett.,Scarlett has 864 clocks. Daniel has 501 fewer clocks than Scarlett. How many clocks does Daniel have in total?,Scarlett has 802 clocks. Daniel has 439 fewer clocks than Scarlett. How many clocks does Daniel have in total?,363,363,363,Subtraction,2
What is the number of yellow spoons that Elizabeth has?,Benjamin has 514 yellow spoons. Benjamin has 454 fewer yellow spoons than Elizabeth.,Benjamin has 681 yellow spoons. Benjamin has 287 fewer yellow spoons than Elizabeth.,Benjamin has 514 yellow spoons. Benjamin has 454 fewer yellow spoons than Elizabeth. What is the number of yellow spoons that Elizabeth has?,Benjamin has 681 yellow spoons. Benjamin has 287 fewer yellow spoons than Elizabeth. What is the number of yellow spoons that Elizabeth has?,968,968,968,Addition,1
How many kilowatt-hours of emergency energy reserve does Emily have?,Logan has 557 kilowatt-hours of emergency energy reserve. Logan has 316 kilowatt-hours of emergency energy reserve more than Emily.,Logan has 519 kilowatt-hours of emergency energy reserve. Logan has 278 kilowatt-hours of emergency energy reserve more than Emily.,Logan has 557 kilowatt-hours of emergency energy reserve. Logan has 316 kilowatt-hours more emergency energy reserve than Emily. How many kilowatt-hours of emergency energy reserve does Emily have?,Logan has 519 kilowatt-hours of emergency energy reserve. Logan has 278 kilowatt-hours more emergency energy reserve than Emily. How many kilowatt-hours of emergency energy reserve does Emily have?,241,241,241,Subtraction,1
How many plates does Layla have in all?,William has 555 plates. William has 110 fewer plates than Layla.,William has 383 plates. William has 282 fewer plates than Layla.,William has 555 plates. William has 110 fewer plates than Layla. How many plates does Layla have in total?,William has 383 plates. William has 282 fewer plates than Layla. How many plates does Layla have in total?,665,665,665,Addition,1
How many hairdryers does Emma have in all?,Mia has 421 hairdryers. Emma has 542 more hairdryers than Mia.,Mia has 508 hairdryers. Emma has 455 more hairdryers than Mia.,Mia has 421 hairdryers. Emma has 542 hairdryers more than Mia. How many hairdryers does Emma have in total?,Mia has 508 hairdryers. Emma has 455 hairdryers more than Mia. How many hairdryers does Emma have in total?,963,963,963,Addition,1
What is the number of large mouses that Liam has?,Logan has 214 large mouses. Logan has 762 fewer large mouses than Liam.,Logan has 218 large mouses. Logan has 758 fewer large mouses than Liam.,Logan has 214 large mice. Logan has 762 fewer large mice than Liam. What is the number of large mice that Liam has?,Logan has 218 large mice. Logan has 758 fewer large mice than Liam. What is the number of large mice that Liam has?,976,976,976,Addition,1
What is the number of green bookshelfs that James has?,Amelia has 656 green bookshelfs. James has 141 fewer green bookshelfs than Amelia.,Amelia has 692 green bookshelfs. James has 177 fewer green bookshelfs than Amelia.,Amelia has 656 green bookshelves. James has 141 fewer green bookshelves than Amelia. What is the number of green bookshelves that James has?,Amelia has 692 green bookshelves. James has 177 fewer green bookshelves than Amelia. What is the number of green bookshelves that James has?,515,515,515,Subtraction,1
How many liters of milk does William have?,Ryan has 406 liters of milk. Ryan has 453 liters of milk less than William.,Ryan has 184 liters of milk. Ryan has 675 liters of milk less than William.,Ryan has 406 liters of milk. Ryan has 453 liters less milk than William. How many liters of milk does William have?,Ryan has 184 liters of milk. Ryan has 675 liters less milk than William. How many liters of milk does William have?,859,859,859,Addition,1
How many umbrellas does Joshua have in their collection?,Charlotte has 669 umbrellas. Joshua has 446 fewer umbrellas than Charlotte.,Charlotte has 462 umbrellas. Joshua has 239 fewer umbrellas than Charlotte.,Charlotte has 669 umbrellas. Joshua has 446 fewer umbrellas than Charlotte. How many umbrellas does Joshua have in his collection?,Charlotte has 462 umbrellas. Joshua has 239 fewer umbrellas than Charlotte. How many umbrellas does Joshua have in his collection?,223,223,223,Subtraction,1
How many grams of butter does Andrew have?,Ella has 766 grams of butter. Andrew has 423 grams of butter less than Ella.,Ella has 730 grams of butter. Andrew has 387 grams of butter less than Ella.,Ella has 766 grams of butter. Andrew has 423 grams less butter than Ella. How many grams of butter does Andrew have?,Ella has 730 grams of butter. Andrew has 387 grams less butter than Ella. How many grams of butter does Andrew have?,343,343,343,Subtraction,2
What is the number of yellow soaps that Lucy has?,Sophia has 388 yellow soaps. Lucy has 275 fewer yellow soaps than Sophia.,Sophia has 922 yellow soaps. Lucy has 809 fewer yellow soaps than Sophia.,Sophia has 388 yellow soaps. Lucy has 275 fewer yellow soaps than Sophia. What is the number of yellow soaps that Lucy has?,Sophia has 922 yellow soaps. Lucy has 809 fewer yellow soaps than Sophia. What is the number of yellow soaps that Lucy has?,113,113,113,Subtraction,1
How many meters of rope does Logan have?,Mason has 897 meters of rope. Mason has 351 meters of rope more than Logan.,Mason has 773 meters of rope. Mason has 227 meters of rope more than Logan.,Mason has 897 meters of rope. Mason has 351 meters more rope than Logan. How many meters of rope does Logan have?,Mason has 773 meters of rope. Mason has 227 meters more rope than Logan. How many meters of rope does Logan have?,546,546,546,Subtraction,1
What is the number of orange keys that Mila has?,Daniel has 717 orange keys. Daniel has 101 more orange keys than Mila.,Daniel has 813 orange keys. Daniel has 197 more orange keys than Mila.,Daniel has 717 orange keys. Daniel has 101 more orange keys than Mila. What is the number of orange keys that Mila has?,Daniel has 813 orange keys. Daniel has 197 more orange keys than Mila. What is the number of orange keys that Mila has?,616,616,616,Subtraction,2
How many toasters does Natalie have in total?,Scarlett has 694 toasters. Scarlett has 562 more toasters than Natalie.,Scarlett has 415 toasters. Scarlett has 283 more toasters than Natalie.,Scarlett has 694 toasters. Scarlett has 562 more toasters than Natalie. How many toasters does Natalie have in total?,Scarlett has 415 toasters. Scarlett has 283 more toasters than Natalie. How many toasters does Natalie have in total?,132,132,132,Subtraction,1
How many gigabytes of training data does Harper have?,Mia has 779 gigabytes of training data. Harper has 436 gigabytes of training data less than Mia.,Mia has 814 gigabytes of training data. Harper has 471 gigabytes of training data less than Mia.,Mia has 779 gigabytes of training data. Harper has 436 gigabytes less training data than Mia. How many gigabytes of training data does Harper have?,Mia has 814 gigabytes of training data. Harper has 471 gigabytes less training data than Mia. How many gigabytes of training data does Harper have?,343,343,343,Subtraction,1
How many grams of butter does Benjamin have?,Abigail has 899 grams of butter. Benjamin has 493 grams of butter less than Abigail.,Abigail has 652 grams of butter. Benjamin has 246 grams of butter less than Abigail.,Abigail has 899 grams of butter. Benjamin has 493 grams less butter than Abigail. How many grams of butter does Benjamin have?,Abigail has 652 grams of butter. Benjamin has 246 grams less butter than Abigail. How many grams of butter does Benjamin have?,406,406,406,Subtraction,1
What is the number of small mugs that Mila has?,David has 132 small mugs. Mila has 754 more small mugs than David.,David has 589 small mugs. Mila has 297 more small mugs than David.,David has 132 small mugs. Mila has 754 more small mugs than David. What is the number of small mugs that Mila has?,David has 589 small mugs. Mila has 297 more small mugs than David. What is the number of small mugs that Mila has?,886,886,886,Addition,2
What is the number of small couchs that Mia has?,Elijah has 475 small couchs. Mia has 210 more small couchs than Elijah.,Elijah has 126 small couchs. Mia has 559 more small couchs than Elijah.,Elijah has 475 small couches. Mia has 210 more small couches than Elijah. What is the number of small couches that Mia has?,Elijah has 126 small couches. Mia has 559 more small couches than Elijah. What is the number of small couches that Mia has?,685,685,685,Addition,1
What is the number of red pots that Jacob has?,James has 529 red pots. Jacob has 430 more red pots than James.,James has 488 red pots. Jacob has 471 more red pots than James.,James has 529 red pots. Jacob has 430 red pots more than James. What is the number of red pots that Jacob has?,James has 488 red pots. Jacob has 471 red pots more than James. What is the number of red pots that Jacob has?,959,959,959,Addition,1
How many vacuum cleaners does Christian have in total?,Charlotte has 834 vacuum cleaners. Charlotte has 712 more vacuum cleaners than Christian.,Charlotte has 370 vacuum cleaners. Charlotte has 248 more vacuum cleaners than Christian.,Charlotte has 834 vacuum cleaners. She has 712 more vacuum cleaners than Christian. How many vacuum cleaners does Christian have in total?,Charlotte has 370 vacuum cleaners. She has 248 more vacuum cleaners than Christian. How many vacuum cleaners does Christian have in total?,122,122,122,Subtraction,1
What is the number of green forks that Alexander has?,David has 775 green forks. David has 653 more green forks than Alexander.,David has 701 green forks. David has 579 more green forks than Alexander.,David has 775 green forks. David has 653 more green forks than Alexander. What is the number of green forks that Alexander has?,David has 701 green forks. David has 579 more green forks than Alexander. What is the number of green forks that Alexander has?,122,122,122,Subtraction,2
How many mugs does Evelyn have in their collection?,Chloe has 701 mugs. Evelyn has 283 more mugs than Chloe.,Chloe has 388 mugs. Evelyn has 596 more mugs than Chloe.,Chloe has 701 mugs. Evelyn has 283 mugs more than Chloe. How many mugs does Evelyn have in her collection?,Chloe has 388 mugs. Evelyn has 596 mugs more than Chloe. How many mugs does Evelyn have in her collection?,984,984,984,Addition,2
How many mugs does Henry have?,Jackson has 120 mugs. Jackson has 354 fewer mugs than Henry.,Jackson has 197 mugs. Jackson has 277 fewer mugs than Henry.,Jackson has 120 mugs. Jackson has 354 fewer mugs than Henry. How many mugs does Henry have?,Jackson has 197 mugs. Jackson has 277 fewer mugs than Henry. How many mugs does Henry have?,474,474,474,Addition,2
How many bookshelfs does Michael have?,Jacob has 546 bookshelfs. Michael has 202 fewer bookshelfs than Jacob.,Jacob has 940 bookshelfs. Michael has 596 fewer bookshelfs than Jacob.,Jacob has 546 bookshelves. Michael has 202 fewer bookshelves than Jacob. How many bookshelves does Michael have?,Jacob has 940 bookshelves. Michael has 596 fewer bookshelves than Jacob. How many bookshelves does Michael have?,344,344,344,Subtraction,2
What is the number of small speakers that James has?,Lily has 231 small speakers. James has 737 more small speakers than Lily.,Lily has 149 small speakers. James has 819 more small speakers than Lily.,Lily has 231 small speakers. James has 737 small speakers more than Lily. What is the number of small speakers that James has?,Lily has 149 small speakers. James has 819 small speakers more than Lily. What is the number of small speakers that James has?,968,968,968,Addition,1
What is the number of orange mirrors that Sophia has?,Joshua has 344 orange mirrors. Sophia has 125 more orange mirrors than Joshua.,Joshua has 172 orange mirrors. Sophia has 297 more orange mirrors than Joshua.,Joshua has 344 orange mirrors. Sophia has 125 orange mirrors more than Joshua. What is the number of orange mirrors that Sophia has?,Joshua has 172 orange mirrors. Sophia has 297 orange mirrors more than Joshua. What is the number of orange mirrors that Sophia has?,469,469,469,Addition,1
How many kilowatt-hours of emergency energy reserve does Jonathan have?,Logan has 140 kilowatt-hours of emergency energy reserve. Logan has 328 kilowatt-hours of emergency energy reserve less than Jonathan.,Logan has 171 kilowatt-hours of emergency energy reserve. Logan has 297 kilowatt-hours of emergency energy reserve less than Jonathan.,Logan has 140 kilowatt-hours of emergency energy reserve. Logan has 328 kilowatt-hours less of emergency energy reserve than Jonathan. How many kilowatt-hours of emergency energy reserve does Jonathan have?,Logan has 171 kilowatt-hours of emergency energy reserve. Logan has 297 kilowatt-hours less of emergency energy reserve than Jonathan. How many kilowatt-hours of emergency energy reserve does Jonathan have?,468,468,468,Addition,1
What is the number of red shampoos that Henry has?,Lucy has 254 red shampoos. Henry has 321 more red shampoos than Lucy.,Lucy has 190 red shampoos. Henry has 385 more red shampoos than Lucy.,Lucy has 254 red shampoos. Henry has 321 red shampoos more than Lucy. What is the number of red shampoos that Henry has?,Lucy has 190 red shampoos. Henry has 385 red shampoos more than Lucy. What is the number of red shampoos that Henry has?,575,575,575,Addition,1
How many kilowatt-hours of emergency energy reserve does Olivia have?,Lucy has 671 kilowatt-hours of emergency energy reserve. Lucy has 251 kilowatt-hours of emergency energy reserve more than Olivia.,Lucy has 901 kilowatt-hours of emergency energy reserve. Lucy has 481 kilowatt-hours of emergency energy reserve more than Olivia.,Lucy has 671 kilowatt-hours of emergency energy reserve. Lucy has 251 kilowatt-hours more emergency energy reserve than Olivia. How many kilowatt-hours of emergency energy reserve does Olivia have?,Lucy has 901 kilowatt-hours of emergency energy reserve. Lucy has 481 kilowatt-hours more emergency energy reserve than Olivia. How many kilowatt-hours of emergency energy reserve does Olivia have?,420,420,420,Subtraction,1
How many juicers does Harper have?,William has 250 juicers. William has 110 fewer juicers than Harper.,William has 128 juicers. William has 232 fewer juicers than Harper.,William has 250 juicers. William has 110 fewer juicers than Harper. How many juicers does Harper have?,William has 128 juicers. William has 232 fewer juicers than Harper. How many juicers does Harper have?,360,360,360,Addition,1
How many shampoos does Lucy have totaled?,Nathan has 447 shampoos. Nathan has 336 more shampoos than Lucy.,Nathan has 900 shampoos. Nathan has 789 more shampoos than Lucy.,Nathan has 447 shampoos. Nathan has 336 more shampoos than Lucy. How many shampoos does Lucy have in total?,Nathan has 900 shampoos. Nathan has 789 more shampoos than Lucy. How many shampoos does Lucy have in total?,111,111,111,Subtraction,2
How many kilograms of gold does Layla have?,Ava has 627 kilograms of gold. Ava has 300 kilograms of gold more than Layla.,Ava has 600 kilograms of gold. Ava has 273 kilograms of gold more than Layla.,Ava has 627 kilograms of gold. Ava has 300 kilograms more gold than Layla. How many kilograms of gold does Layla have?,Ava has 600 kilograms of gold. Ava has 273 kilograms more gold than Layla. How many kilograms of gold does Layla have?,327,327,327,Subtraction,2
How many tables does Mia have in all?,William has 135 tables. William has 340 fewer tables than Mia.,William has 139 tables. William has 336 fewer tables than Mia.,William has 135 tables. William has 340 fewer tables than Mia. How many tables does Mia have in total?,William has 139 tables. William has 336 fewer tables than Mia. How many tables does Mia have in total?,475,475,475,Addition,1
What is the number of orange towels that Lily has?,Sofia has 462 orange towels. Lily has 320 more orange towels than Sofia.,Sofia has 166 orange towels. Lily has 616 more orange towels than Sofia.,Sofia has 462 orange towels. Lily has 320 orange towels more than Sofia. What is the number of orange towels that Lily has?,Sofia has 166 orange towels. Lily has 616 orange towels more than Sofia. What is the number of orange towels that Lily has?,782,782,782,Addition,1
What is the number of small juicers that Hannah has?,Harper has 388 small juicers. Hannah has 183 fewer small juicers than Harper.,Harper has 900 small juicers. Hannah has 695 fewer small juicers than Harper.,Harper has 388 small juicers. Hannah has 183 fewer small juicers than Harper. What is the number of small juicers that Hannah has?,Harper has 900 small juicers. Hannah has 695 fewer small juicers than Harper. What is the number of small juicers that Hannah has?,205,205,205,Subtraction,2
How many kilograms of gold does Ella have?,John has 262 kilograms of gold. John has 111 kilograms of gold less than Ella.,John has 174 kilograms of gold. John has 199 kilograms of gold less than Ella.,John has 262 kilograms of gold. John has 111 kilograms less gold than Ella. How many kilograms of gold does Ella have?,John has 174 kilograms of gold. John has 199 kilograms less gold than Ella. How many kilograms of gold does Ella have?,373,373,373,Addition,2
How many meters of rope does Victoria have?,Amelia has 104 meters of rope. Victoria has 722 meters of rope more than Amelia.,Amelia has 555 meters of rope. Victoria has 271 meters of rope more than Amelia.,Amelia has 104 meters of rope. Victoria has 722 meters more rope than Amelia. How many meters of rope does Victoria have?,Amelia has 555 meters of rope. Victoria has 271 meters more rope than Amelia. How many meters of rope does Victoria have?,826,826,826,Addition,1
How many rugs does Scarlett have totaled?,Logan has 368 rugs. Scarlett has 133 fewer rugs than Logan.,Logan has 602 rugs. Scarlett has 367 fewer rugs than Logan.,Logan has 368 rugs. Scarlett has 133 fewer rugs than Logan. How many rugs does Scarlett have in total?,Logan has 602 rugs. Scarlett has 367 fewer rugs than Logan. How many rugs does Scarlett have in total?,235,235,235,Subtraction,2
How many juicers does Nicholas have in their collection?,Matthew has 276 juicers. Nicholas has 122 fewer juicers than Matthew.,Matthew has 846 juicers. Nicholas has 692 fewer juicers than Matthew.,Matthew has 276 juicers. Nicholas has 122 fewer juicers than Matthew. How many juicers does Nicholas have in his collection?,Matthew has 846 juicers. Nicholas has 692 fewer juicers than Matthew. How many juicers does Nicholas have in his collection?,154,154,154,Subtraction,1
What is the number of yellow vacuum cleaners that Andrew has?,Liam has 752 yellow vacuum cleaners. Andrew has 227 more yellow vacuum cleaners than Liam.,Liam has 798 yellow vacuum cleaners. Andrew has 181 more yellow vacuum cleaners than Liam.,Liam has 752 yellow vacuum cleaners. Andrew has 227 yellow vacuum cleaners more than Liam. What is the number of yellow vacuum cleaners that Andrew has?,Liam has 798 yellow vacuum cleaners. Andrew has 181 yellow vacuum cleaners more than Liam. What is the number of yellow vacuum cleaners that Andrew has?,979,979,979,Addition,1
How many bottles does Liam have in their collection?,Christopher has 102 bottles. Liam has 581 more bottles than Christopher.,Christopher has 344 bottles. Liam has 339 more bottles than Christopher.,Christopher has 102 bottles. Liam has 581 bottles more than Christopher. How many bottles does Liam have in his collection?,Christopher has 344 bottles. Liam has 339 bottles more than Christopher. How many bottles does Liam have in his collection?,683,683,683,Addition,1
What is the number of small plants that Natalie has?,Ava has 551 small plants. Ava has 303 fewer small plants than Natalie.,Ava has 745 small plants. Ava has 109 fewer small plants than Natalie.,Ava has 551 small plants. Ava has 303 fewer small plants than Natalie. What is the number of small plants that Natalie has?,Ava has 745 small plants. Ava has 109 fewer small plants than Natalie. What is the number of small plants that Natalie has?,854,854,854,Addition,1
What is the number of blue shampoos that Charlotte has?,Lily has 536 blue shampoos. Charlotte has 112 more blue shampoos than Lily.,Lily has 399 blue shampoos. Charlotte has 249 more blue shampoos than Lily.,Lily has 536 blue shampoos. Charlotte has 112 blue shampoos more than Lily. What is the number of blue shampoos that Charlotte has?,Lily has 399 blue shampoos. Charlotte has 249 blue shampoos more than Lily. What is the number of blue shampoos that Charlotte has?,648,648,648,Addition,2
How many umbrellas does Sophia have totaled?,Daniel has 992 umbrellas. Daniel has 851 more umbrellas than Sophia.,Daniel has 820 umbrellas. Daniel has 679 more umbrellas than Sophia.,Daniel has 992 umbrellas. Daniel has 851 more umbrellas than Sophia. How many umbrellas does Sophia have in total?,Daniel has 820 umbrellas. Daniel has 679 more umbrellas than Sophia. How many umbrellas does Sophia have in total?,141,141,141,Subtraction,2
How many televisions does Natalie have in all?,Joshua has 104 televisions. Natalie has 820 more televisions than Joshua.,Joshua has 380 televisions. Natalie has 544 more televisions than Joshua.,Joshua has 104 televisions. Natalie has 820 televisions more than Joshua. How many televisions does Natalie have in total?,Joshua has 380 televisions. Natalie has 544 televisions more than Joshua. How many televisions does Natalie have in total?,924,924,924,Addition,1
What is the number of yellow refrigerators that Avery has?,Alexander has 105 yellow refrigerators. Alexander has 802 fewer yellow refrigerators than Avery.,Alexander has 788 yellow refrigerators. Alexander has 119 fewer yellow refrigerators than Avery.,Alexander has 105 yellow refrigerators. Alexander has 802 fewer yellow refrigerators than Avery. What is the number of yellow refrigerators that Avery has?,Alexander has 788 yellow refrigerators. Alexander has 119 fewer yellow refrigerators than Avery. What is the number of yellow refrigerators that Avery has?,907,907,907,Addition,2
What is the number of large computers that Mason has?,Samuel has 685 large computers. Samuel has 323 more large computers than Mason.,Samuel has 761 large computers. Samuel has 399 more large computers than Mason.,Samuel has 685 large computers. Samuel has 323 more large computers than Mason. What is the number of large computers that Mason has?,Samuel has 761 large computers. Samuel has 399 more large computers than Mason. What is the number of large computers that Mason has?,362,362,362,Subtraction,2
How many plates does Samuel have in their collection?,Sofia has 112 plates. Sofia has 800 fewer plates than Samuel.,Sofia has 808 plates. Sofia has 104 fewer plates than Samuel.,Sofia has 112 plates. Sofia has 800 fewer plates than Samuel. How many plates does Samuel have in his collection?,Sofia has 808 plates. Sofia has 104 fewer plates than Samuel. How many plates does Samuel have in his collection?,912,912,912,Addition,1
What is the number of green wallets that John has?,Mason has 982 green wallets. Mason has 711 more green wallets than John.,Mason has 960 green wallets. Mason has 689 more green wallets than John.,Mason has 982 green wallets. Mason has 711 more green wallets than John. What is the number of green wallets that John has?,Mason has 960 green wallets. Mason has 689 more green wallets than John. What is the number of green wallets that John has?,271,271,271,Subtraction,2
What is the number of small blenders that Daniel has?,Mia has 766 small blenders. Mia has 434 more small blenders than Daniel.,Mia has 910 small blenders. Mia has 578 more small blenders than Daniel.,Mia has 766 small blenders. Mia has 434 more small blenders than Daniel. What is the number of small blenders that Daniel has?,Mia has 910 small blenders. Mia has 578 more small blenders than Daniel. What is the number of small blenders that Daniel has?,332,332,332,Subtraction,2
How many phones does Elizabeth have?,Mila has 414 phones. Mila has 464 fewer phones than Elizabeth.,Mila has 739 phones. Mila has 139 fewer phones than Elizabeth.,Mila has 414 phones. Mila has 464 fewer phones than Elizabeth. How many phones does Elizabeth have?,Mila has 739 phones. Mila has 139 fewer phones than Elizabeth. How many phones does Elizabeth have?,878,878,878,Addition,1
How many pans does Mia have in total?,Layla has 351 pans. Layla has 446 fewer pans than Mia.,Layla has 118 pans. Layla has 679 fewer pans than Mia.,Layla has 351 pans. Layla has 446 fewer pans than Mia. How many pans does Mia have in total?,Layla has 118 pans. Layla has 679 fewer pans than Mia. How many pans does Mia have in total?,797,797,797,Addition,1
How many toothbrushs does Harper have in total?,Isabella has 420 toothbrushs. Isabella has 524 fewer toothbrushs than Harper.,Isabella has 587 toothbrushs. Isabella has 357 fewer toothbrushs than Harper.,Isabella has 420 toothbrushes. Isabella has 524 fewer toothbrushes than Harper. How many toothbrushes does Harper have in total?,Isabella has 587 toothbrushes. Isabella has 357 fewer toothbrushes than Harper. How many toothbrushes does Harper have in total?,944,944,944,Addition,2
How many acres of farmland does Mia have?,Harper has 503 acres of farmland. Harper has 231 acres of farmland less than Mia.,Harper has 615 acres of farmland. Harper has 119 acres of farmland less than Mia.,Harper has 503 acres of farmland. Harper has 231 acres of farmland fewer than Mia. How many acres of farmland does Mia have?,Harper has 615 acres of farmland. Harper has 119 acres of farmland fewer than Mia. How many acres of farmland does Mia have?,734,734,734,Addition,1
How many meters of rope does Emily have?,Hannah has 845 meters of rope. Emily has 502 meters of rope less than Hannah.,Hannah has 701 meters of rope. Emily has 358 meters of rope less than Hannah.,Hannah has 845 meters of rope. Emily has 502 meters less rope than Hannah. How many meters of rope does Emily have?,Hannah has 701 meters of rope. Emily has 358 meters less rope than Hannah. How many meters of rope does Emily have?,343,343,343,Subtraction,2
